Axle Number,Wheel Number,Timestamp,Wheel Angle,
1,0,27.3288,-33.25,
1,0,27.3488,-33.25,
1,0,27.369,-33.25,
1,0,27.3893,-33.25,
1,0,27.4105,-33.25,
1,0,27.4307,-33.25,
1,0,27.4509,-33.25,
1,0,27.4712,-33.25,
1,0,27.4915,-33.25,
1,0,27.5117,-33.25,
1,0,27.532,-33.25,
1,0,27.5522,-33.25,
1,0,27.5724,-33.25,
1,0,27.5926,-33.25,
1,0,27.6129,-33.25,
1,0,27.6331,-33.25,
1,0,27.6538,-33.25,
1,0,27.6735,-33.25,
1,0,27.6937,-33.25,
1,0,27.7141,-33.25,
1,0,27.7347,-33.25,
1,0,27.7545,-33.25,
1,0,27.7751,-33.25,
1,0,27.795,-33.25,
1,0,27.8163,-33.25,
1,0,27.8369,-33.25,
1,0,27.8562,-33.25,
1,0,27.8768,-33.25,
1,0,27.8967,-33.25,
1,0,27.9166,-33.25,
1,0,27.9365,-33.25,
1,0,27.9572,-33.25,
1,0,27.9772,-33.25,
1,0,27.9978,-33.25,
1,0,28.0177,-33.25,
1,0,28.0388,-33.25,
1,0,28.0586,-33.25,
1,0,28.0786,-33.25,
1,0,28.0987,-33.25,
1,0,28.1189,-33.25,
1,0,28.1391,-33.25,
1,0,28.1598,-33.25,
1,0,28.1796,-33.25,
1,0,28.1998,-33.25,
1,0,28.22,-33.25,
1,0,28.2402,-33.25,
1,0,28.2614,-33.25,
1,0,28.2807,-33.25,
1,0,28.3008,-33.25,
1,0,28.3213,-33.25,
1,0,28.3412,-33.25,
1,0,28.3631,-33.25,
1,0,28.3818,-33.25,
1,0,28.4021,-33.25,
1,0,28.4243,-33.25,
1,0,28.4447,-33.25,
1,0,28.4646,-33.25,
1,0,28.4848,-33.25,
1,0,28.5049,-33.25,
1,0,28.5252,-33.25,
1,0,28.5458,-33.25,
1,0,28.5656,-33.25,
1,0,28.5858,-33.25,
1,0,28.606,-33.25,
1,0,28.6262,-33.25,
1,0,28.6464,-33.25,
1,0,28.6667,-33.25,
1,0,28.6869,-33.25,
1,0,28.7083,-33.25,
1,0,28.7285,-33.25,
1,0,28.7496,-33.25,
1,0,28.769,-33.25,
1,0,28.7892,-33.25,
1,0,28.8094,-33.25,
1,0,28.8296,-33.25,
1,0,28.8498,-33.25,
1,0,28.87,-33.25,
1,0,28.8902,-33.25,
1,0,28.9107,-33.25,
1,0,28.9312,-33.25,
1,0,28.9509,-33.25,
1,0,28.9717,-33.25,
1,0,28.9918,-33.25,
1,0,29.0121,-33.25,
1,0,29.0325,-33.25,
1,0,29.0525,-33.25,
1,0,29.0729,-33.25,
1,0,29.0931,-33.25,
1,0,29.1133,-33.25,
1,0,29.1339,-33.25,
1,0,29.1542,-33.25,
1,0,29.1744,-33.25,
1,0,29.1951,-33.25,
1,0,29.2157,-33.25,
1,0,29.2357,-33.25,
1,0,29.2562,-33.25,
1,0,29.2761,-33.25,
1,0,29.2967,-33.25,
1,0,29.3178,-33.25,
1,0,29.337,-33.25,
1,0,29.3574,-33.25,
1,0,29.3779,-33.25,
1,0,29.3979,-33.25,
1,0,29.4181,-33.25,
1,0,29.4405,-33.25,
1,0,29.4615,-33.25,
1,0,29.4812,-33.25,
1,0,29.5012,-33.25,
1,0,29.5219,-33.25,
1,0,29.5412,-33.25,
1,1,0.019485,-0.292969,
1,1,0.040135,-0.292969,
1,1,0.061382,-0.292969,
1,1,0.079984,-0.292969,
1,1,0.100207,-0.292969,
1,1,0.121497,-0.292969,
1,1,0.140867,-0.292969,
1,1,0.16109,-0.292969,
1,1,0.181313,-0.292969,
1,1,0.201579,-0.292969,
1,1,0.221931,0,
1,1,0.242324,0,
1,1,0.262505,0,
1,1,0.282728,0,
1,1,0.302909,0,
1,1,0.32326,0,
1,1,0.34344,0,
1,1,0.364176,0,
1,1,0.383972,0,
1,1,0.404153,0,
1,1,0.424376,0,
1,1,0.444557,0,
1,1,0.46478,0,
1,1,0.48496,0,
1,1,0.505183,0,
1,1,0.525876,-0.292969,
1,1,0.54627,-0.292969,
1,1,0.566578,-0.292969,
1,1,0.586759,-0.292969,
1,1,0.60694,-0.292969,
1,1,0.627376,0,
1,1,0.647045,0,
1,1,0.667268,0,
1,1,0.687448,0,
1,1,0.707672,0,
1,1,0.728236,0,
1,1,0.748118,0,
1,1,0.768299,0,
1,1,0.788479,0,
1,1,0.808702,0,
1,1,0.829437,0,
1,1,0.84949,0,
1,1,0.869671,0,
1,1,0.890363,0,
1,1,0.9108,0,
1,1,0.931181,0,
1,1,0.951105,0,
1,1,0.971371,0,
1,1,0.991552,0,
1,1,1.01173,0,
1,1,1.03204,0,
1,1,1.05235,0,
1,1,1.07253,0,
1,1,1.09442,0,
1,1,1.11468,0,
1,1,1.13486,0,
1,1,1.15504,0,
1,1,1.17574,0,
1,1,1.19511,0,
1,1,1.2152,0,
1,1,1.23636,0,
1,1,1.25701,0,
1,1,1.2763,0,
1,1,1.29737,0,
1,1,1.31738,0,
1,1,1.33684,0,
1,1,1.35813,0,
1,1,1.3778,0,
1,1,1.39828,0,
1,1,1.41846,0,
1,1,1.43885,0,
1,1,1.45844,0,
1,1,1.47891,0,
1,1,1.49897,0,
1,1,1.51991,0,
1,1,1.54014,0,
1,1,1.56058,0,
1,1,1.58084,0,
1,1,1.60085,0,
1,1,1.62184,0,
1,1,1.64117,0,
1,1,1.66276,0,
1,1,1.68204,0,
1,1,1.70227,0,
1,1,1.72249,0,
1,1,1.74275,0,
1,1,1.76298,0,
1,1,1.78299,0,
1,1,1.80296,0,
1,1,1.8236,0,
1,1,1.84383,0,
1,1,1.86409,0,
1,1,1.88432,0,
1,1,1.9045,0,
1,1,1.92472,0,
1,1,1.94499,0,
1,1,1.96512,0,
1,1,1.98533,0,
1,1,2.00556,0,
1,1,2.02591,0,
1,1,2.04609,0,
1,1,2.06648,0,
1,1,2.08662,0,
1,1,2.10684,0,
1,1,2.12702,0,
1,1,2.14785,0,
1,1,2.16743,0,
1,1,2.18761,0,
1,1,2.20783,0,
1,1,2.22801,0,
1,1,2.24819,0,
1,1,2.26842,0,
1,1,2.28941,0,
1,1,2.30963,0,
1,1,2.32981,0,
1,1,2.34999,0,
1,1,2.37022,0,
1,1,2.3904,0,
1,1,2.41058,0,
1,1,2.43059,-0.292969,
1,1,2.45098,-0.292969,
1,1,2.4715,-0.292969,
1,1,2.49113,-0.292969,
1,1,2.51144,-0.292969,
1,1,2.53166,0,
1,1,2.5524,0,
1,1,2.57241,0,
1,1,2.59314,0,
1,1,2.61281,0,
1,1,2.63303,0,
1,1,2.6533,0,
1,1,2.67455,0,
1,1,2.69421,0,
1,1,2.71482,0,
1,1,2.73449,0,
1,1,2.75557,0,
1,1,2.77485,0,
1,1,2.79563,0,
1,1,2.81572,0,
1,1,2.83548,-0.292969,
1,1,2.86261,-0.292969,
1,1,2.87772,-0.292969,
1,1,2.89773,-0.292969,
1,1,2.91829,0,
1,1,2.93817,0,
1,1,2.96228,0,
1,1,2.97887,0,
1,1,2.99888,0,
1,1,3.01889,0,
1,1,3.03889,0,
1,1,3.06168,0,
1,1,3.0793,0,
1,1,3.09969,0,
1,1,3.11987,-0.292969,
1,1,3.14005,-0.292969,
1,1,3.16266,-0.292969,
1,1,3.18088,-0.292969,
1,1,3.20085,-0.292969,
1,1,3.22141,0,
1,1,3.24121,0,
1,1,3.26284,0,
1,1,3.28178,0,
1,1,3.30201,0,
1,1,3.32236,0,
1,1,3.34258,0,
1,1,3.36562,0,
1,1,3.38299,0,
1,1,3.40359,0,
1,1,3.42407,0,
1,1,3.44429,0,
1,1,3.46447,0,
1,1,3.48513,0,
1,1,3.50577,0,
1,1,3.52595,-0.292969,
1,1,3.54648,-0.292969,
1,1,3.56632,-0.292969,
1,1,3.58663,-0.292969,
1,1,3.60685,-0.292969,
1,1,3.62707,0,
1,1,3.64725,0,
1,1,3.66978,0,
1,1,3.68996,0,
1,1,3.71078,0,
1,1,3.73041,0,
1,1,3.75148,0,
1,1,3.77145,0,
1,1,3.79146,0,
1,1,3.81151,0,
1,1,3.83178,-0.292969,
1,1,3.85251,-0.292969,
1,1,3.87376,-0.292969,
1,1,3.89351,-0.292969,
1,1,3.91374,-0.292969,
1,1,3.93392,0,
1,1,3.95414,0,
1,1,3.97488,0,
1,1,3.9945,0,
1,1,4.01464,0,
1,1,4.03456,0,
1,1,4.05466,0,
1,1,4.07484,0,
1,1,4.09502,0,
1,1,4.11559,0,
1,1,4.1356,0,
1,1,4.15603,0,
1,1,4.17724,0,
1,1,4.19678,0,
1,1,4.21785,0,
1,1,4.23731,0,
1,1,4.25745,0,
1,1,4.27801,0,
1,1,4.29785,0,
1,1,4.31846,0,
1,1,4.33813,0,
1,1,4.35831,0,
1,1,4.37896,0,
1,1,4.39875,0,
1,1,4.41893,0,
1,1,4.43912,0,
1,1,4.4607,0,
1,1,4.47952,0,
1,1,4.49974,0,
1,1,4.52103,0,
1,1,4.54138,0,
1,1,4.56238,0,
1,1,4.5817,0,
1,1,4.60192,0,
1,1,4.62219,0,
1,1,4.64229,0,
1,1,4.66281,0,
1,1,4.68239,0,
1,1,4.70261,0,
1,1,4.72284,0,
1,1,4.74302,0,
1,1,4.76324,0,
1,1,4.78346,0,
1,1,4.80365,0,
1,1,4.82391,0,
1,1,4.84413,0,
1,1,4.86478,0,
1,1,4.88471,0,
1,1,4.90489,0,
1,1,4.92511,0,
1,1,4.94563,0,
1,1,4.96552,0,
1,1,4.9857,0,
1,1,5.00592,0,
1,1,5.0261,0,
1,1,5.04632,0,
1,1,5.0671,0,
1,1,5.08728,0,
1,1,5.10691,0,
1,1,5.12713,0,
1,1,5.14786,0,
1,1,5.16753,0,
1,1,5.18784,0,
1,1,5.20849,0,
1,1,5.22939,0,
1,1,5.24923,0,
1,1,5.26941,0,
1,1,5.28964,0,
1,1,5.30982,0,
1,1,5.32983,0,
1,1,5.3498,0,
1,1,5.37002,0,
1,1,5.39024,0,
1,1,5.41042,0,
1,1,5.43086,0,
1,1,5.45091,0,
1,1,5.47143,0,
1,1,5.49132,0,
1,1,5.51158,0,
1,1,5.53181,0,
1,1,5.55198,0,
1,1,5.57251,0,
1,1,5.59273,0,
1,1,5.61291,0,
1,1,5.63313,0,
1,1,5.65332,0,
1,1,5.67473,0,
1,1,5.69491,0,
1,1,5.71561,0,
1,1,5.7354,0,
1,1,5.75729,0,
1,1,5.77773,0,
1,1,5.79718,0,
1,1,5.81779,0,
1,1,5.83882,0,
1,1,5.85845,0,
1,1,5.8788,0,
1,1,5.89911,0,
1,1,5.91925,0,
1,1,5.93943,0,
1,1,5.95961,0,
1,1,5.97987,0,
1,1,6.00005,0,
1,1,6.02023,-0.292969,
1,1,6.04084,-0.292969,
1,1,6.0617,-0.292969,
1,1,6.08146,-0.292969,
1,1,6.10185,-0.292969,
1,1,6.12199,0,
1,1,6.14221,0,
1,1,6.16303,0,
1,1,6.18278,0,
1,1,6.203,0,
1,1,6.22318,0,
1,1,6.24336,0,
1,1,6.26414,0,
1,1,6.28376,0,
1,1,6.30394,0,
1,1,6.32464,0,
1,1,6.34571,0,
1,1,6.365,0,
1,1,6.38522,0,
1,1,6.4054,0,
1,1,6.42567,0,
1,1,6.44576,0,
1,1,6.46569,0,
1,1,6.48595,0,
1,1,6.50618,0,
1,1,6.52636,0,
1,1,6.54675,0,
1,1,6.56702,0,
1,1,6.5872,0,
1,1,6.60742,0,
1,1,6.62764,0,
1,1,6.64782,0,
1,1,6.668,0,
1,1,6.68823,0,
1,1,6.70841,0,
1,1,6.72859,-0.292969,
1,1,6.74881,-0.292969,
1,1,6.76899,-0.292969,
1,1,6.78917,-0.292969,
1,1,6.8094,-0.292969,
1,1,6.82958,-0.292969,
1,1,6.85001,-0.292969,
1,1,6.87019,-0.292969,
1,1,6.89037,-0.292969,
1,1,6.91085,-0.292969,
1,1,6.9309,0,
1,1,6.95117,0,
1,1,6.97144,0,
1,1,6.992,0,
1,1,7.01231,0,
1,1,7.03249,0,
1,1,7.05271,0,
1,1,7.07302,0,
1,1,7.09329,0,
1,1,7.11326,0,
1,1,7.13318,0.347656,
1,1,7.15345,0.347656,
1,1,7.17367,0.347656,
1,1,7.19389,0.347656,
1,1,7.21416,0.347656,
1,1,7.23445,1.39844,
1,1,7.25514,1.39844,
1,1,7.27617,1.39844,
1,1,7.29567,1.39844,
1,1,7.31666,1.39844,
1,1,7.33625,2.79688,
1,1,7.35664,2.79688,
1,1,7.37729,2.79688,
1,1,7.3973,2.79688,
1,1,7.41782,4.19922,
1,1,7.43783,4.19922,
1,1,7.45844,4.19922,
1,1,7.47841,4.19922,
1,1,7.49846,4.19922,
1,1,7.51872,5.94922,
1,1,7.53891,5.94922,
1,1,7.55938,5.94922,
1,1,7.57986,5.94922,
1,1,7.60009,5.94922,
1,1,7.62082,7.34766,
1,1,7.64045,7.34766,
1,1,7.66165,7.34766,
1,1,7.68162,7.34766,
1,1,7.70218,7.34766,
1,1,7.72245,9.09766,
1,1,7.74259,9.09766,
1,1,7.76281,9.09766,
1,1,7.78299,9.09766,
1,1,7.80317,9.09766,
1,1,7.82335,10.5,
1,1,7.84358,10.5,
1,1,7.86435,10.5,
1,1,7.88411,10.5,
1,1,7.90437,10.5,
1,1,7.92477,12.25,
1,1,7.94508,12.25,
1,1,7.96628,12.25,
1,1,7.98539,12.25,
1,1,8.00557,12.25,
1,1,8.02605,13.6484,
1,1,8.04628,13.6484,
1,1,8.0665,13.6484,
1,1,8.08668,13.6484,
1,1,8.1069,13.6484,
1,1,8.1279,15.0469,
1,1,8.14816,15.0469,
1,1,8.16834,15.0469,
1,1,8.18857,15.0469,
1,1,8.20879,15.0469,
1,1,8.2291,16.7969,
1,1,8.24915,16.7969,
1,1,8.2691,16.7969,
1,1,8.28941,16.7969,
1,1,8.30964,16.7969,
1,1,8.3299,18.1992,
1,1,8.35012,18.1992,
1,1,8.37031,18.1992,
1,1,8.39091,18.1992,
1,1,8.41092,18.1992,
1,1,8.43132,19.5977,
1,1,8.45137,19.5977,
1,1,8.47159,19.5977,
1,1,8.49194,19.5977,
1,1,8.51217,19.5977,
1,1,8.53239,21,
1,1,8.5527,21,
1,1,8.57305,21,
1,1,8.59327,21,
1,1,8.61345,21,
1,1,8.63363,21.6992,
1,1,8.65386,21.6992,
1,1,8.67609,21.6992,
1,1,8.69618,21.6992,
1,1,8.71611,21.6992,
1,1,8.73637,22.3984,
1,1,8.75723,22.3984,
1,1,8.77771,22.3984,
1,1,8.79755,22.3984,
1,1,8.81829,23.0977,
1,1,8.8377,23.0977,
1,1,8.8589,23.0977,
1,1,8.88083,23.0977,
1,1,8.89939,23.0977,
1,1,8.91876,23.7969,
1,1,8.93882,23.7969,
1,1,8.95921,23.7969,
1,1,8.97943,23.7969,
1,1,8.9994,23.7969,
1,1,9.01954,24.5,
1,1,9.03976,24.5,
1,1,9.06054,24.5,
1,1,9.08021,24.5,
1,1,9.10039,24.5,
1,1,9.12146,25.1992,
1,1,9.14105,25.1992,
1,1,9.16217,25.1992,
1,1,9.18158,25.1992,
1,1,9.20193,25.1992,
1,1,9.22211,25.8984,
1,1,9.24238,25.8984,
1,1,9.2626,25.8984,
1,1,9.28278,25.8984,
1,1,9.30317,25.8984,
1,1,9.32386,26.5977,
1,1,9.34404,26.5977,
1,1,9.36469,26.5977,
1,1,9.38453,26.5977,
1,1,9.40471,26.5977,
1,1,9.42493,27.2969,
1,1,9.44519,27.2969,
1,1,9.46537,27.2969,
1,1,9.4856,27.2969,
1,1,9.50578,27.2969,
1,1,9.526,28,
1,1,9.54622,28,
1,1,9.56662,28,
1,1,9.58684,28,
1,1,9.60702,28,
1,1,9.6272,29.0469,
1,1,9.64738,29.0469,
1,1,9.66761,29.0469,
1,1,9.68783,29.0469,
1,1,9.70801,29.0469,
1,1,9.72819,30.0977,
1,1,9.74837,30.0977,
1,1,9.76855,30.0977,
1,1,9.78878,30.0977,
1,1,9.809,30.0977,
1,1,9.82918,30.7969,
1,1,9.8494,30.7969,
1,1,9.86958,30.7969,
1,1,9.88981,30.7969,
1,1,9.91003,30.7969,
1,1,9.93021,31.8477,
1,1,9.95043,31.8477,
1,1,9.97198,31.8477,
1,1,9.99139,31.8477,
1,1,10.0117,31.8477,
1,1,10.0319,32.5469,
1,1,10.0522,32.5469,
1,1,10.0725,32.5469,
1,1,10.0925,32.5469,
1,1,10.1127,32.5469,
1,1,10.133,33.25,
1,1,10.1531,33.25,
1,1,10.1734,33.25,
1,1,10.1935,33.25,
1,1,10.2137,33.25,
1,1,10.2339,33.25,
1,1,10.2547,33.25,
1,1,10.2743,33.25,
1,1,10.2945,33.25,
1,1,10.3153,33.25,
1,1,10.3355,33.25,
1,1,10.3551,33.25,
1,1,10.3756,33.25,
1,1,10.3962,33.25,
1,1,10.4162,33.25,
1,1,10.4367,33.25,
1,1,10.4568,33.25,
1,1,10.4767,33.25,
1,1,10.4973,33.25,
1,1,10.5173,33.25,
1,1,10.5373,33.25,
1,1,10.5575,33.25,
1,1,10.5791,33.25,
1,1,10.5982,33.25,
1,1,10.6189,33.25,
1,1,10.6394,33.25,
1,1,10.6601,33.25,
1,1,10.6807,33.25,
1,1,10.701,33.25,
1,1,10.7217,33.25,
1,1,10.7417,33.25,
1,1,10.7628,33.25,
1,1,10.7822,33.25,
1,1,10.8024,33.25,
1,1,10.8227,33.25,
1,1,10.8432,33.25,
1,1,10.8634,33.25,
1,1,10.8836,33.25,
1,1,10.9038,33.25,
1,1,10.9241,33.25,
1,1,10.9442,33.25,
1,1,10.9645,33.25,
1,1,10.9847,33.25,
1,1,11.0049,33.25,
1,1,11.0251,33.25,
1,1,11.0454,33.25,
1,1,11.0657,33.25,
1,1,11.0858,33.25,
1,1,11.1061,33.25,
1,1,11.1264,33.25,
1,1,11.147,33.25,
1,1,11.1674,33.25,
1,1,11.1877,33.25,
1,1,11.2079,33.25,
1,1,11.2281,33.25,
1,1,11.2482,33.25,
1,1,11.2681,33.25,
1,1,11.2884,33.25,
1,1,11.3086,33.25,
1,1,11.3288,33.25,
1,1,11.349,33.25,
1,1,11.3692,33.25,
1,1,11.3894,33.25,
1,1,11.4096,33.25,
1,1,11.4299,33.25,
